roman_urdu,urdu
wahi shaks tha,وہی شخص تھا
wahi time pe gaya,وہی ٹائم پہ گیا
wahi kar jo samajh mein aaye,وہی کر جو سمجھ میں آئے
wahi hoga jo hona tha,وہی ہو گا جو ہونا تھا
usi ne kiya tha wahi,اسی نے کیا تھا وہی
wahi cheez chahiye thi,وہی چیز چاہیے تھی
wahi number tha uska,وہی نمبر تھا اس کا
wahi hua jo mujhe pata tha,وہی ہوا جو مجھے پتہ تھا
yaar wahi ho gaya phir,یار وہی ہو گیا پھر
wahi galti dobara mat karna,وہی غلطی دوبارہ مت کرنا
wahi waala phone chahiye tha,وہی والا فون چاہیے تھا
wahi bol raha tha jo tum soch rahe ho,وہی بول رہا تھا جو تم سوچ رہے ہو
bahut bad insaan hai woh,بہت بد انسان ہے وہ
bad aadat hai yeh,بد عادت ہے یہ
bad qismat hun main,بد قسمت ہوں میں
iska bad naseeb hi tha,اس کا بد نصیب ہی تھا
bad kirdaar hai bilkul,بد کردار ہے بالکل
bad mash lag raha hai,بد معاش لگ رہا ہے
bad niyati se kaam kiya usne,بد نیتی سے کام کیا اس نے
itna bad kyun hai,اتنا بد کیوں ہے
bad zubaan banda hai,بد زبان بندہ ہے
bad mijaaj hai woh,بد مزاج ہے وہ
usne mani nahi,اس نے مانی نہیں
mani lo yaar,مانی لو یار
tune mani hai na,تم نے مانی ہے نا
baat mani us ne,بات مانی اس نے
kya tune mani,کیا تم نے مانی
mani nahi to maat lao,مانی نہیں تو مت لاؤ
usne meri baat mani,اس نے میری بات مانی
phir bhi mani nahi usne,پھر بھی مانی نہیں اس نے
mani ya nahi,مانی یا نہیں
kabhi mani nahi usne,کبھی مانی نہیں اس نے
is baat ke maani samajh nahi aaye,اس بات کے معنی سمجھ نہیں آئے
is lafz ke maani kya hain,اس لفظ کے معنی کیا ہیں
maani samjho pehle,معنی سمجھو پہلے
sahi maani mein nahi samjha,صحیح معنی میں نہیں سمجھا
in alfaaz ke maani bata do,ان الفاظ کے معنی بتا دو
main hun yahan,میں ہوں یہاں
main aa raha hun,میں آ رہا ہوں
main nahi aaya,میں نہیں آیا
main theek hun,میں ٹھیک ہوں
main soch raha tha,میں سوچ رہا تھا
main samjha nahi,میں سمجھا نہیں
main kya karu,میں کیا کروں
main bhi tha wahan,میں بھی تھا وہاں
main nahi chahta yeh,میں نہیں چاہتا یہ
main dekh raha hun,میں دیکھ رہا ہوں
main kal baat karta hun,میں کل بات کرتا ہوں
main tumhare sath hun,میں تمہارے ساتھ ہوں
main samajh gaya ab,میں سمجھ گیا اب
main pehle bhi keh chuka hun,میں پہلے بھی کہہ چکا ہوں
main aaj bahut thaka hua hun,میں آج بہت تھکا ہوا ہوں
yeh main road hai,یہ مین روڈ ہے
main gate pe aa jao,مین گیٹ پہ آ جاؤ
main hall mein baithna,مین ہال میں بیٹھنا
seedha main road pe aa jao,سیدھا مین روڈ پہ آ جاؤ
theek hun main,ٹھیک ہوں میں
thaka hua hun,تھکا ہوا ہوں
ghar pe hun,گھر پہ ہوں
abhi aata hun,ابھی آتا ہوں
soch raha hun,سوچ رہا ہوں
ja raha hun,جا رہا ہوں
khaana kha raha hun,کھانا کھا رہا ہوں
so raha tha hun,سو رہا تھا
aa raha hun do minute mein,آ رہا ہوں دو منٹ میں
busy hun thoda,بزی ہوں تھوڑا
baat kar raha hun,بات کر رہا ہوں
nahi hun wahan,نہیں ہوں وہاں
theek nahi hun aaj,ٹھیک نہیں ہوں آج
samajh nahi pa raha hun,سمجھ نہیں پا رہا ہوں
wait kar raha hun,انتظار کر رہا ہوں
kal se pareshan hun,کل سے پریشان ہوں
kuch nahi kar raha hun,کچھ نہیں کر رہا ہوں
dekh raha hun kya ho raha hai,دیکھ رہا ہوں کیا ہو رہا ہے
meri jaan,میری جان
jaan chhor do,جان چھوڑ دو
uski jaan khatray mein hai,اس کی جان خطرے میں ہے
yaar jaan chhodo meri,یار جان چھوڑو میری
jaan khatar mein daal di,جان خطر میں ڈال دی
teri jaan ki kasam,تیری جان کی قسم
jaan bachi to lakhon paaye,جان بچی تو لاکھوں پائے
apni jaan se zyada chahta hun tujhe,اپنی جان سے زیادہ چاہتا ہوں تجھے
jaan do yaar is baat ko,جان دو یار اس بات کو
itni badi jaan ka sawaal hai,اتنی بڑی جان کا سوال ہے
woh meri jaan hai,وہ میری جان ہے
jaan pe bann ayi,جان پہ بن آئی
haan theek hai,ہاں ٹھیک ہے
haan aa jao,ہاں آ جاؤ
haan main hun,ہاں میں ہوں
haan bhai kya hua,ہاں بھائی کیا ہوا
haan mujhe pata hai,ہاں مجھے پتہ ہے
haan yaar sahi keh raha hai,ہاں یار سہی کہہ رہا ہے
haan kar do,ہاں کر دو
haan kal milte hain,ہاں کل ملتے ہیں
haan wahi sochta tha main bhi,ہاں وہی سوچتا تھا میں بھی
haan bilkul,ہاں بالکل
haan kuch der mein aata hun,ہاں کچھ دیر میں آتا ہوں
haan pakka,ہاں پکا
haan bhai zaroor,ہاں بھائی ضرور
haan yaar kya karein ab,ہاں یار کیا کریں اب
haan uss din baat hui thi,ہاں اس دن بات ہوئی تھی
haan to ab kya plan hai,ہاں تو اب کیا پلان ہے
aman hona chahiye,امن ہونا چاہیے
desh mein aman ho,ملک میں امن ہو
ghar mein aman chahiye,گھر میں امن چاہیے
aman se raho,امن سے رہو
aman barbad kar diya usne,امن برباد کر دیا اس نے
aman chahte hain sab,امن چاہتے ہیں سب
aman hoga to sab theek hoga,امن ہو گا تو سب ٹھیک ہو گا
yeh ghar mera aman ka jagah tha,یہ گھر میرا امن کا جگہ تھا
aman chain se jeena chahte hain,امن چین سے جینا چاہتے ہیں
aman ke liye kuch bhi kar sakte hain,امن کے لیے کچھ بھی کر سکتے ہیں
bijli ka tar toot gaya,بجلی کا تار ٹوٹ گیا
tar jod do,تار جوڑ دو
tar kheench ke lao,تار کھینچ کے لاؤ
earphone ka tar kharab ho gaya,ایئرفون کا تار خراب ہو گیا
charger ka tar nahi mil raha,چارجر کا تار نہیں مل رہا
tar ulajh gaya,تار الجھ گیا
phone ka tar bahut chota hai,فون کا تار بہت چھوٹا ہے
tar se current aa raha hai,تار سے کرنٹ آ رہا ہے
koi tar nahi hai yahan,کوئی تار نہیں ہے یہاں
bijli ka tar nange haath se mat pakdo,بجلی کا تار ننگے ہاتھ سے مت پکڑو
data cable ka tar lao,ڈیٹا کیبل کا تار لاؤ
speaker ka tar laga do,اسپیکر کا تار لگا دو
mez par rakh do,میز پر رکھ دو
ghar par hun,گھر پر ہوں
woh darwaze par hai,وہ دروازے پر ہے
phone par baat karo,فون پر بات کرو
table par rakha tha,ٹیبل پر رکھا تھا
yeh par likh do,یہ پر لکھ دو
sofa par baitho,صوفہ پر بیٹھو
chhatt par mat jao,چھت پر مت جاؤ
zameen par baith gaya,زمین پر بیٹھ گیا
deewar par kuch likha tha,دیوار پر کچھ لکھا تھا
bed par so raha tha,بیڈ پر سو رہا تھا
uski nazar meri taraf par thi,اس کی نظر میری طرف پر تھی
school par ja raha hun,اسکول پر جا رہا ہوں
par kya karu main,پر کیا کروں میں
haan par abhi time nahi,ہاں پر ابھی ٹائم نہیں
chahiye tha par nahi mila,چاہیے تھا پر نہیں ملا
bahut koshish ki par kuch nahi hua,بہت کوشش کی پر کچھ نہیں ہوا
main aana chahta tha par kaam tha,میں آنا چاہتا تھا پر کام تھا
der se aaya par aa gaya,دیر سے آیا پر آ گیا
theek tha par thoda ajeeb laga,ٹھیک تھا پر تھوڑا عجیب لگا
phir milenge,پھر ملیں گے
phir aao,پھر آؤ
phir wahi hua,پھر وہی ہوا
phir kya kiya,پھر کیا کیا
phir bhi nahi aaya,پھر بھی نہیں آیا
phir se karoge kya,پھر سے کرو گے کیا
phir socho,پھر سوچو
phir pata nahi,پھر پتہ نہیں
phir theek ho jaayega,پھر ٹھیک ہو جائے گا
phir gaya woh,پھر گیا وہ
phir kal baat karte hain,پھر کل بات کرتے ہیں
phir se aayi wahi baat,پھر سے آئی وہی بات
kha lo phir sona,کھا لو پھر سونا
phir nahi miloge,پھر نہیں ملو گے
phir hoga kya,پھر ہو گا کیا
phir bhi dil nahi mana,پھر بھی دل نہیں مانا
phir se try karo,پھر سے ٹرائی کرو
dekho phir jaake,دیکھو پھر جا کے
phir baat karte hain kuch der mein,پھر بات کرتے ہیں کچھ دیر میں
phir tum ne wahi kiya jo karna tha hi nahi,پھر تم نے وہی کیا جو کرنا ہی نہیں تھا
sar dard ho raha hai,سر درد ہو رہا ہے
mera sar chakra raha hai,میرا سر چکرا رہا ہے
sar jhukaao mat kisi ke samne,سر جھکاؤ مت کسی کے سامنے
sar pe haath rakh diya,سر پہ ہاتھ رکھ دیا
sar uthao,سر اٹھاؤ
sar se paani guzar gaya,سر سے پانی گزر گیا
sar pe bojh hai bahut,سر پہ بوجھ ہے بہت
sar nahi chala mera,سر نہیں چلا میرا
sir ne class mein bulaya,سر نے کلاس میں بلایا
sir ka lecture kaafi lamba tha,سر کا لیکچر کافی لمبا تھا
sir se poochha to bata denge,سر سے پوچھا تو بتا دیں گے
sir aaj school mein nahi hain,سر آج اسکول میں نہیں ہیں
sir bahut strict hain,سر بہت سٹرکٹ ہیں
sir ko complaint mat karna,سر کو کمپلینٹ مت کرنا
kyu ro raha hai,کیوں رو رہا ہے
rona band karo,رونا بند کرو
rona mat,رونا مت
woh ro padi,وہ رو پڑی
rone se kuch nahi milta,رونے سے کچھ نہیں ملتا
main ro raha tha,میں رو رہا تھا
rone ki zaroorat nahi,رونے کی ضرورت نہیں
rona aa gaya mujhe,رونا آ گیا مجھے
baccha bahut roya,بچہ بہت رویا
roya to nahi tha uss waqt,رویا تو نہیں تھا اس وقت
andar se ro raha tha woh,اندر سے رو رہا تھا وہ
rone laga toh sab hairan ho gaye,رونے لگا تو سب حیران ہو گئے
rone ka dil kar raha tha,رونے کا دل کر رہا تھا
tum rona kyun shuru ho jate ho,تم رونا کیوں شروع ہو جاتے ہو
kisi ke samne rona mat,کسی کے سامنے رونا مت
rona aaya par roka khud ko,رونا آیا پر روکا خود کو
dil nahi lag raha,دل نہیں لگ رہا
dil kharab hai,دل خراب ہے
mera dil chahta hai,میرا دل چاہتا ہے
dil pe mat lo,دل پہ مت لو
dil se karo kaam,دل سے کرو کام
dil bhar aaya,دل بھر آیا
dil nahi kerta kuch,دل نہیں کرتا کچھ
dil toot gaya,دل ٹوٹ گیا
dil ko chain nahi,دل کو چین نہیں
dil ki baat karo,دل کی بات کرو
uska dil bahut acha hai,اس کا دل بہت اچھا ہے
dil ko sukoon mila,دل کو سکون ملا
iska dil dukhaya tune,اس کا دل دکھایا تم نے
dil mein rakho baat,دل میں رکھو بات
dil se maafi maango,دل سے معافی مانگو
dil nahi hai is mein,دل نہیں ہے اس میں
dil pe zor mat daalo,دل پہ زور مت ڈالو
jo dil kare karo,جو دل کرے کرو
dil bhar ke ro lo ek baar,دل بھر کے رو لو ایک بار
dil achi jagah pe hai uska,دل اچھی جگہ پہ ہے اس کا
ghar wale naraaz hain,گھر والے ناراض ہیں
ghar waali ne kaha,گھر والی نے کہا
ghar ka khaana,گھر کا کھانا
ghar ke kaam karo,گھر کے کام کرو
ghar mein jhagra ho gaya,گھر میں جھگڑا ہو گیا
ghar baith ke karo kaam,گھر بیٹھ کے کرو کام
ghar ka mahol theek nahi,گھر کا ماحول ٹھیک نہیں
ghar pe akele the,گھر پہ اکیلے تھے
ghar pe reh ke padhna,گھر پہ رہ کے پڑھنا
ghar ki yaad aa rahi hai,گھر کی یاد آ رہی ہے
ghar chhoda tab se,گھر چھوڑا تب سے
ghar mein khana pakao,گھر میں کھانا پکاؤ
ghar walon ko batao pehle,گھر والوں کو بتاؤ پہلے
ghar mein koi nahi tha,گھر میں کوئی نہیں تھا
apna ghar hota to alag baat thi,اپنا گھر ہوتا تو الگ بات تھی
kuch nahi hua,کچھ نہیں ہوا
kuch chahiye tha,کچھ چاہیے تھا
kuch bata do,کچھ بتا دو
kuch kha liya,کچھ کھا لیا
kuch acha hua,کچھ اچھا ہوا
kuch samjha nahi,کچھ سمجھا نہیں
kuch aur chahiye,کچھ اور چاہیے
kuch theek nahi lag raha,کچھ ٹھیک نہیں لگ رہا
kuch nahi pata tha,کچھ نہیں پتہ تھا
kuch to bolo,کچھ تو بولو
kuch der mein aata hun,کچھ دیر میں آتا ہوں
koi baat nahi,کوئی بات نہیں
koi nahi hai yahan,کوئی نہیں ہے یہاں
koi aa gaya,کوئی آ گیا
koi acha sa dhundo,کوئی اچھا سا ڈھونڈو
koi problem hai kya,کوئی پرابلم ہے کیا
koi nahi sunta,کوئی نہیں سنتا
koi pooch raha tha tumhe,کوئی پوچھ رہا تھا تمہیں
koi bata do yaar,کوئی بتا دو یار
koi zaroorat nahi iske liye,کوئی ضرورت نہیں اس کے لیے
abhi aa raha hun,ابھی آ رہا ہوں
abhi nahi,ابھی نہیں
abhi karo,ابھی کرو
abhi waqt nahi,ابھی وقت نہیں
abhi ghar hun,ابھی گھر ہوں
abhi soona tha,ابھی سونا تھا
abhi busy hun,ابھی بزی ہوں
abhi baat nahi kar sakta,ابھی بات نہیں کر سکتا
abhi thoda rukna padega,ابھی تھوڑا رکنا پڑے گا
abhi kya ho raha hai wahan,ابھی کیا ہو رہا ہے وہاں
abhi to aya tha,ابھی تو آیا تھا
abhi aao jaldi,ابھی آؤ جلدی
abhi bata do nahi to bhool jaoonga,ابھی بتا دو نہیں تو بھول جاؤں گا
abhi test hai kuch der mein,ابھی ٹیسٹ ہے کچھ دیر میں
abhi nahi kar sakta yaar,ابھی نہیں کر سکتا یار
yahan aa jao,یہاں آ جاؤ
main yahan hun,میں یہاں ہوں
yahan mat ruko,یہاں مت رکو
yahan kya ho raha hai,یہاں کیا ہو رہا ہے
yahan rakh do,یہاں رکھ دو
kab tak yahan ho,کب تک یہاں ہو
yahan bohot garmi hai,یہاں بہت گرمی ہے
yahan signal nahi aata,یہاں سگنل نہیں آتا
yahan paani nahi hai,یہاں پانی نہیں ہے
yahan koi nahi tha,یہاں کوئی نہیں تھا
wahan ja ke dekho,وہاں جا کے دیکھو
wahan kya tha,وہاں کیا تھا
wahan log bahut hain,وہاں لوگ بہت ہیں
wahan nahi jaoonga,وہاں نہیں جاؤں گا
wahan se aa gaye,وہاں سے آ گئے
wahan koi nahi tha,وہاں کوئی نہیں تھا
wahan bahut der lagegi,وہاں بہت دیر لگے گی
wahan theek se nahi tha kaam,وہاں ٹھیک سے نہیں تھا کام
nahi karna mujhe,نہیں کرنا مجھے
nahi aaunga main,نہیں آؤں گا میں
nahi pata mujhe,نہیں پتہ مجھے
nahi chahiye yeh,نہیں چاہیے یہ
nahi tha wahan,نہیں تھا وہاں
nahi hona chahiye tha,نہیں ہونا چاہیے تھا
nahi samjha tune,نہیں سمجھا تم نے
bilkul nahi,بالکل نہیں
nahi nahi,نہیں نہیں
haan ya nahi,ہاں یا نہیں
mat jao abhi,مت جاؤ ابھی
mat karo aisa,مت کرو ایسا
mat bolo yeh,مت بولو یہ
mat dekho wahan,مت دیکھو وہاں
mat roo,مت رو
mat uthao yeh,مت اٹھاؤ یہ
mat bhejo use,مت بھیجو اسے
mat socho itna,مت سوچو اتنا
raat ko aana,رات کو آنا
raat bahut ho gayi,رات بہت ہو گئی
raat mein mat niklo,رات میں مت نکلو
kal raat kya hua tha,کل رات کیا ہوا تھا
raat bhar jaag raha tha,رات بھر جاگ رہا تھا
raat ka khana kha liya,رات کا کھانا کھا لیا
raat gaye aa gaye,رات گئے آ گئے
is raat mujhe neend nahi aayi,اس رات مجھے نیند نہیں آئی
subah jaldi uthna tha,صبح جلدی اٹھنا تھا
subah uth nahi saka,صبح اٹھ نہیں سکا
subah se bhookha hun,صبح سے بھوکا ہوں
subah ki chai pee lo,صبح کی چائے پی لو
subah subah shuru ho gaya,صبح صبح شروع ہو گیا
subah kisi ne call kiya tha,صبح کسی نے کال کیا تھا
shaam ko aana,شام کو آنا
shaam ho gayi bahar abhi tak,شام ہو گئی باہر ابھی تک
shaam ko milte hain,شام کو ملتے ہیں
yeh shaam alag thi,یہ شام الگ تھی
shaam tak aa jao,شام تک آ جاؤ
shaam ki chai meri pasandida hai,شام کی چائے میری پسندیدہ ہے
pyar karta hun tujhse,پیار کرتا ہوں تجھ سے
bahut pyar hai mujhe tumse,بہت پیار ہے مجھے تم سے
pyar se bolo,پیار سے بولو
pyar nahi raha ab,پیار نہیں رہا اب
yeh pyar wala rishtaa hai,یہ پیار والا رشتہ ہے
apne bachon se pyar karo,اپنے بچوں سے پیار کرو
pyar mein andha ho jaata hai insaan,پیار میں اندھا ہو جاتا ہے انسان
pyar se kaam nikalta hai,پیار سے کام نکلتا ہے
usse bahut pyar hai mujhe,اسے بہت پیار ہے مجھے
pyar ek baar hota hai,پیار ایک بار ہوتا ہے
mohabbat karna aasan nahi,محبت کرنا آسان نہیں
uski mohabbat sachchi thi,اس کی محبت سچی تھی
mohabbat mein dhoka mila,محبت میں دھوکہ ملا
mohabbat aur pyar mein farq hota hai,محبت اور پیار میں فرق ہوتا ہے
sachchi mohabbat to woh thi,سچی محبت تو وہ تھی
paisa nahi hai,پیسہ نہیں ہے
paise khatam ho gaye,پیسے ختم ہو گئے
paise de do,پیسے دے دو
paise wapas karo,پیسے واپس کرو
paise mang rahe ho kya,پیسے مانگ رہے ہو کیا
itne paise kahan se aye,اتنے پیسے کہاں سے آئے
paise nahi hain abhi,پیسے نہیں ہیں ابھی
paise save karo,پیسے سیو کرو
paise waste mat karo,پیسے ضائع مت کرو
paise se sab kuch nahi milta,پیسے سے سب کچھ نہیں ملتا
thode paise ude,تھوڑے پیسے اڑے
paise ki zaroorat thi,پیسے کی ضرورت تھی
paise se zyada waqt zaroori hai,پیسے سے زیادہ وقت ضروری ہے
paise kahan rakh liye tune,پیسے کہاں رکھ لیے تم نے
ghar ka kiraaya dena hai paise,گھر کا کرایہ دینا ہے پیسے
waqt nahi hai,وقت نہیں ہے
waqt se aao,وقت سے آؤ
waqt barbad mat karo,وقت برباد مت کرو
bahut waqt ho gaya,بہت وقت ہو گیا
waqt mile to aana,وقت ملے تو آنا
waqt kitna bura tha,وقت کتنا برا تھا
waqt ke saath sab theek ho jata hai,وقت کے ساتھ سب ٹھیک ہو جاتا ہے
waqt ki baat hai,وقت کی بات ہے
kuch waqt do mujhe,کچھ وقت دو مجھے
waqt nahi tha uss waqt,وقت نہیں تھا اس وقت
time nahi hai abhi,ٹائم نہیں ہے ابھی
time se aa jao,ٹائم سے آ جاؤ
kitna time lagega,کتنا ٹائم لگے گا
time waste mat karo,ٹائم ویسٹ مت کرو
time nahi tha yaar,ٹائم نہیں تھا یار
time mil gaya to aata hun,ٹائم مل گیا تو آتا ہوں
part time kaam karta hun,پارٹ ٹائم کام کرتا ہوں
time pe pohanch gaye,ٹائم پہ پہنچ گئے
kaam karo,کام کرو
kaam nahi hua,کام نہیں ہوا
kaam chal raha hai,کام چل رہا ہے
kaam ho gaya,کام ہو گیا
kaam se aa raha hun,کام سے آ رہا ہوں
bahut kaam hai aaj,بہت کام ہے آج
kaam wala banda hai,کام والا بندہ ہے
kaam pe dhyan do,کام پہ دھیان دو
kaam khatam ho gaya,کام ختم ہو گیا
achha kaam kiya,اچھا کام کیا
kaam pe nahi gaya aaj,کام پہ نہیں گیا آج
kaam seekhna chahiye,کام سیکھنا چاہیے
kam khao zyada mat khao,کم کھاؤ زیادہ مت کھاؤ
kam so rahe ho yaar,کم سو رہے ہو یار
paise kam hain,پیسے کم ہیں
kam se kam itna to karo,کم سے کم اتنا تو کرو
kam bolo zyada suno,کم بولو زیادہ سنو
uski salary kam hai,اس کی تنخواہ کم ہے
kam log aaye the,کم لوگ آئے تھے
kam umar mein bahut kuch seekha,کم عمر میں بہت کچھ سیکھا
baat karo mujhse,بات کرو مجھ سے
kya baat hai,کیا بات ہے
baat sunlo,بات سن لو
baat mat karo isse,بات مت کرو اس سے
baat nahi karni mujhe,بات نہیں کرنی مجھے
teri baat sahi hai,تیری بات سہی ہے
yeh baat sach nahi,یہ بات سچ نہیں
koi baat nahi yaar,کوئی بات نہیں یار
baat poori karo pehle,بات پوری کرو پہلے
teri baat sun raha hun,تیری بات سن رہا ہوں
baat seedhi karo,بات سیدھی کرو
baat alag hai,بات الگ ہے
iss baat se mujhe gussa aata hai,اس بات سے مجھے غصہ آتا ہے
pehle baat sunni chahiye thi,پہلے بات سننی چاہیے تھی
baat khatam karo ab,بات ختم کرو اب
yeh baat dil pe lag gayi,یہ بات دل پہ لگ گئی
baat itni badi nahi thi,بات اتنی بڑی نہیں تھی
baat wahan tak pahonch gayi,بات وہاں تک پہنچ گئی
yeh zindagi hai,یہ زندگی ہے
zindagi mein aisa hota hai,زندگی میں ایسا ہوتا ہے
zindagi bhar yaad rahega,زندگی بھر یاد رہے گا
zindagi barbad ho gayi,زندگی برباد ہو گئی
zindagi bahut mushkil ho gayi hai,زندگی بہت مشکل ہو گئی ہے
zindagi mein aage badhna hai,زندگی میں آگے بڑھنا ہے
meri zindagi mein woh bahut zaroori hai,میری زندگی میں وہ بہت ضروری ہے
zindagi chhoti hai mat gawao,زندگی چھوٹی ہے مت گواؤ
apni life theek karo pehle,اپنی لائف ٹھیک کرو پہلے
life mein ek hi baar hota hai,لائف میں ایک ہی بار ہوتا ہے
life bahut short hai yaar,لائف بہت شورٹ ہے یار
personal life mein mat ghuso,پرسنل لائف میں مت گھسو
life pe mat lo itna,لائف پہ مت لو اتنا
life se pyar karo,لائف سے پیار کرو
