roman_urdu,urdu
selfie le lo yahan,سیلفی لے لو یہاں
selfie aachi aayi hai,سیلفی اچھی آئی ہے
group selfie lete hain,گروپ سیلفی لیتے ہیں
sim recharge karo abhi,سم ریچارج کرو ابھی
recharge ho gayi sim ki,ریچارج ہو گئی سم کی
monthly recharge kitne ka hai,منتھلی ریچارج کتنے کا ہے
number block kar diya,نمبر بلاک کر دیا
account block ho gaya,اکاؤنٹ بلاک ہو گیا
block kyu kiya usne,بلاک کیوں کیا اس نے
unblock karo mujhe,اَن بلاک کرو مجھے
number save karo,نمبر سیو کرو
save ho gaya document,سیو ہو گیا ڈاکیومنٹ
auto save on hai,آٹو سیو آن ہے
search karo Google pe,سرچ کرو گوگل پے
search result mein nahi aaya,سرچ رزلٹ میں نہیں آیا
copy paste mat karo apna kaam karo,کاپی پیسٹ مت کرو اپنا کام کرو
text copy kar ke bhejo,ٹیکسٹ کاپی کر کے بھیجو
zoom in karo photo,زوم ان کرو فوٹو
zoom meeting kal hai,زوم میٹنگ کل ہے
uninstall karo yeh app,اَن انسٹال کرو یہ ایپ
reinstall karna padega,ری انسٹال کرنا پڑے گا
extra charge lagaya unhon ne,ایکسٹرا چارج لگایا انہوں نے
koi charge nahi delivery ka,کوئی چارج نہیں ڈیلیوری کا
PC restart karo,پی سی ری اسٹارٹ کرو
PC slow hai aaj kal,پی سی سلو ہے آج کل
OTP aaya hai enter karo,او ٹی پی آیا ہے انٹر کرو
code share mat karna kisi se,کوڈ شیئر مت کرنا کسی سے
verification code aa gaya,ویریفکیشن کوڈ آ گیا
subscription expire ho gayi,سبسکرپشن ایکسپائر ہو گئی
Netflix subscription lena hai,نیٹ فلکس سبسکرپشن لینا ہے
storage full ho gayi phone ki,اسٹوریج فل ہو گئی فون کی
storage free karo kuch delete karo,اسٹوریج فری کرو کچھ ڈیلیٹ کرو
cloud storage use karo,کلاؤڈ اسٹوریج یوز کرو
cache clear karo app ka,کیش کلیئر کرو ایپ کا
cache ki wajah se slow hai,کیش کی وجہ سے سلو ہے
laptop mein virus aa gaya,لیپ ٹاپ میں وائرس آ گیا
antivirus install karo,اینٹی وائرس انسٹال کرو
virus scan karo pehle,وائرس اسکین کرو پہلے
internet speed bahut slow hai,انٹرنیٹ اسپیڈ بہت سلو ہے
download speed check karo,ڈاؤن لوڈ اسپیڈ چیک کرو
parcel track karo,پارسل ٹریک کرو
location track ho rahi hai,لوکیشن ٹریک ہو رہی ہے
connect nahi ho raha device,کنیکٹ نہیں ہو رہا ڈیوائس
Bluetooth se connect karo,بلوٹوتھ سے کنیکٹ کرو
screen share karte hain,اسکرین شیئر کرتے ہیں
file share kar do mujhe,فائل شیئر کر دو مجھے
schedule kya hai kal ka,شیڈول کیا ہے کل کا
meeting schedule kar do,میٹنگ شیڈول کر دو
call record kar raha tha,کال ریکارڈ کر رہا تھا
video record ho gayi,ویڈیو ریکارڈ ہو گئی
record kar lo yeh baat,ریکارڈ کر لو یہ بات
register karo pehle website pe,رجسٹر کرو پہلے ویب سائٹ پے
registration complete ho gayi,رجسٹریشن کمپلیٹ ہو گئی
